"","COUNTRY","YEAR","NHOUSEHOLDS","share_water","share_sewage","share_ownership","avg_household_income","poverty_household_share"
"159",35,2002,7085203.99000001,0.655732390714771,NA,0.0531980337338954,1508.0339071579,86.2
"179",42,2011,1166190,0.0127830758780094,0.0248429670407227,0.37312215775443,17969.084013517,0.1
"14",2,2001,2104710,0.296438051419471,0.612988851530702,0.251717331227793,5267.65619934661,22.8
"170",39,1991,3031612,0.977544464113629,NA,0.178639786276659,910.106246735875,57.6
"50",11,1996,144550,NA,NA,0.103466897073118,NA,NA
"118",28,1990,539850,0.191555097837281,0.557386428653164,0.104681267332828,10403.1420647411,23.7
"43",10,1996,12784206.08,0.266496045877258,0.547559916994079,0.12445579779447,6716.14107558189,5.6
"186",45,2000,1861620,0.703946025504668,0.861663497383999,0.126171645140378,NA,43.8
"183",44,1999,16669483.79,0.873045611035673,0.83393869998653,NA,2778.09470728375,34.4
"153",34,1991,11851708.36,0.0045442414675463,NA,0.101661725766866,27915.6770929824,0.5
"90",21,2008,676540,0.518565051586011,0.866822360836019,0.133178134819168,1287.92681641558,71.4
"91",22,1987,1862700,0.760405911202891,NA,0.152276942097672,NA,NA
"177",42,1996,998620,0.0764982020539073,0.0503917067295319,0.141042560211151,12309.2138760933,0.8
"92",22,1998,2276240,0.77234163269076,NA,0.118903379281364,NA,63.8
"137",30,2005,1252861,NA,NA,0.120341395771208,24604.6186333742,NA
"99",25,1990,16482800,0.197968424647724,0.377919296970236,NA,14548.4834062853,7
"72",16,1991,1121490,0.0121916419849056,0.0264905256481408,0.0213800904977376,NA,0.7
"26",5,2013,3163243.2,0.801550829224892,0.547017744320133,0.312450060896615,3062.3423397304,NA
"7",1,2011,3659500,NA,NA,0.0280730156731429,53599.977181233,0.4
"174",41,2000,113264611,NA,NA,0.0638262807117006,50503.9883853758,0.7
"164",37,1990,275070,0.131927952942896,NA,0.0396072307969491,NA,0.4
"78",18,2011,24836300,NA,NA,0.118558737871182,42993.6340057218,1.2
"81",19,2004,973430,0.176261047471674,0.425697639398062,0.0723714675378223,10343.7442134252,1
"182",44,1989,13131921.75,0.72492493678348,0.718772882246407,0.107574865223943,NA,NA
"103",25,2010,28696180,0.08341342249103,0.109837279696503,0.200448965020663,17660.2551138079,4.5
"117",27,2007,415355.2,0.18569032776295,0.669497328482377,0.121942253406069,5180.9456776313,1.5
"76",17,1995,1774120,NA,NA,0.0977260118802541,27736.2120806199,0.2
"143",32,2002,1916160,0.761035304932349,NA,0.11189789317248,993.61286349078,78
"32",6,2002,4376970,0.0326281276463308,0.0911773291932958,0.0777485623686145,15250.2272272349,4.3
"109",26,1997,3643040,0.841842530123464,NA,0.220270517076525,539.408849763483,82.1
"185",45,1990,1293770,0.637450476662127,0.827216318932754,0.135185693377241,NA,NA
"169",38,2000,18689920,0.0577709111794498,NA,0.0999415929443669,15325.1043430033,3
"74",16,2006,1577620,0,0.0295457741527211,0.0394463209809926,51356.3646003201,0.4
"23",5,1998,2231460,0.942345317551723,NA,0.117564796586401,1239.73601991515,NA
"53",12,1990,22797432,NA,NA,0.144582012395396,34012.3875678993,1
"135",30,1990,1944898,0.00107306398587484,0.010980010262749,0.263908081843712,19646.0465209482,NA
"154",34,2001,14289460,0.00301792481473568,0.073543468237993,0.0857085009065057,35428.0084262163,0.5
"34",7,2005,10581289.64,0.159211980516205,NA,0.0113779494499958,9909.70674500993,9.9
"69",15,2010,61040860,0.843585888089217,0.477301766790726,0.0783425430564618,8058.51458552868,13.3
"172",40,1991,21576100,NA,NA,0.0277795029256899,30003.4177136707,0.2
"162",36,2000,16169517.06,0.421069241769558,NA,0.0548811133369671,9628.54204487316,2.4
"63",14,1990,4142100,0.0992985848280401,0.417535311170049,0.0952803088109879,NA,NA
"141",31,2011,7469080,0.181773391100376,0.287345964964895,0,20573.3329074167,4.9
"97",24,1998,1618800,NA,NA,1,1601.51666326575,85.3
"176",41,2010,122554772,NA,NA,0.0650227337235643,55247.6023256943,1
"38",8,2002,2194460,0.210670713644422,0.457363175236871,0.071124642359328,9278.10987628061,5.6
"21",4,1996,1629890,NA,0.975454966785107,0.0620867105762809,1166.44525284218,83.2
"41",9,2001,2933770,0.217526651710405,0.326721274412619,0.0808163960689178,7967.02178196953,28.4
"178",42,2006,1032853,0.0328401040612749,0.0216836277766536,NA,13678.3002351532,0.5
"60",13,2003,1791900,0.91470458566095,NA,0.0734024770214668,2645.189608269,NA
"16",3,2001,423050,0.12410996835443,NA,0.111712285168682,11027.230469536,33.3
"116",27,1997,408005.1,0.164555074379559,0.66159299421812,NA,4878.19794700947,NA
"94",23,1991,3881400,0.143670850293985,NA,0.19454544204088,10511.9397476165,1.6
"6",1,2001,3409410,0.00197267810659098,NA,0.102951502933382,46436.4169649024,0.2
"86",20,2009,1248250,NA,NA,0,4053.88963893041,1.4
"134",29,2011,4070380,0.00558656426297827,0.00510685928154185,0.0320592325327921,30851.0935044001,0.5
"39",8,2010,2677430,0.159705481605702,0.303618219114498,0.0020429097033675,12323.2885898957,2.5
"180",43,1990,3745518,0.129892140873014,0.189761085459872,0.0698244579545038,NA,7.4
"184",44,2009,22629499.03,0.745074126772501,NA,0.247061762549434,4273.95101462084,14.1
"151",33,2007,1243279418.06,0.115382835255041,NA,0.165909800225207,12010.2897439381,25.7
